番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
263,disparity,noun,/dɪˈspærəti/,格差、不均衡,a large difference between groups,収入・教育・地域・男女間などの大きな差を表す。“difference” より社会問題としての不公平感が強い。,income disparity / regional disparity / gender disparity / reduce disparity,There is a clear disparity in access to education between urban and rural areas.,都市部と地方の間には教育へのアクセスに明確な格差がある。,inequality; gap; imbalance; difference,Task 2のinequality topicで非常に使いやすい。
264,be left behind,phrase,/bi left bɪˈhaɪnd/,取り残される、遅れを取る,to fail to progress with others,社会・技術・教育の変化についていけず、不利な状態になる時に使う。Task 2で格差や支援の必要性を説明する時に便利。,be left behind by technology / be left behind in education / risk being left behind / communities left behind,Students without internet access may be left behind in online education.,インターネットにアクセスできない学生はオンライン教育で取り残される可能性がある。,fall behind; be excluded; be disadvantaged; lag behind,Task 2のeducation・technology・inequalityで便利。
265,widen,verb,/ˈwaɪdən/,広げる、広がる,to make or become wider,道路や川幅を広げる意味だけでなく、格差や差が拡大する時にも使える。Task 1とTask 2の両方で便利。,widen a road / widen the gap / widen access / widen inequality,The gap between rich and poor has widened in many cities.,多くの都市で貧富の差が拡大している。,broaden; expand; enlarge; increase,Task 1 mapでは道路、Task 2では格差に使える。
266,reinforce,verb,/ˌriːɪnˈfɔːrs/,強化する、補強する,to make something stronger,考え・規則・関係・構造などをより強くする時に使う。社会的な格差や固定観念にも使える。,reinforce stereotypes / reinforce inequality / reinforce social values / reinforce rules,Poor access to education can reinforce existing social inequalities.,教育へのアクセスの悪さは既存の社会的不平等を強化する可能性がある。,strengthen; support; intensify; consolidate,Task 2で “reinforce inequality/stereotypes” が便利。
267,redefine,verb,/ˌriːdɪˈfaɪn/,再定義する、意味を見直す,to define something in a new way,価値観・仕事・教育・成功などの意味を新しく捉え直す時に使う。現代社会や技術変化の話題で使いやすい。,redefine success / redefine work / redefine education / redefine social roles,Remote work has redefined the relationship between work and home.,リモートワークは仕事と家庭の関係を再定義した。,reinterpret; reshape; rethink; change the meaning of,Task 2のtechnology・work・society topicで使える。
268,inconclusive,adjective,/ˌɪnkənˈkluːsɪv/,結論が出ていない、決定的でない,not leading to a clear conclusion,証拠・研究結果・議論などがはっきりした結論を示していない時に使う。ReadingやTask 2で慎重な表現として便利。,inconclusive evidence / inconclusive results / remain inconclusive / inconclusive research,The evidence about the long-term effects of this policy remains inconclusive.,この政策の長期的な影響に関する証拠はまだ結論が出ていない。,unclear; uncertain; undecided; not definitive,Task 2で断定を避ける時に使える。
269,contest,verb,/kənˈtest/,異議を唱える、争う,to challenge or dispute something,意見・結果・決定などに反対して争う時に使う。名詞では「競争・コンテスト」だが、Writingでは動詞の意味も重要。,contest a decision / contest an election / contest a claim / strongly contest,Some experts contest the claim that technology always improves learning.,一部の専門家は、技術が常に学習を改善するという主張に異議を唱えている。,challenge; dispute; oppose; question,Task 2で反対意見を述べる時に使えるが、少し硬め。
270,reshape,verb,/ˌriːˈʃeɪp/,作り変える、再形成する,to change the form or nature of something,物理的な形だけでなく、社会・産業・生活様式を大きく変える時に使う。Task 2でtechnologyやurban developmentに便利。,reshape society / reshape the economy / reshape urban areas / reshape the workplace,Technology has reshaped the way people communicate and work.,技術は人々のコミュニケーションや働き方を作り変えた。,transform; change; reform; remodel,Task 2のtechnology・work・society topicで非常に使いやすい。
271,postal code,noun,/ˈpoʊstəl koʊd/,郵便番号,a number or code used for mail delivery,住所を特定して郵便物を届けるための番号。イギリス英語では “postcode”、アメリカ英語では “ZIP code” もよく使う。,enter a postal code / provide a postal code / postal code system / correct postal code,Please enter your postal code when filling out the online form.,オンラインフォームに記入する時は郵便番号を入力してください。,postcode; ZIP code; address code; mailing code,Speakingの日常表現やフォーム記入の文脈で使える。
272,adversely,adverb,/ædˈvɝːsli/,悪く、不利に、悪影響を及ぼして,in a harmful or negative way,“affect” と一緒に使われることが多く、“adversely affect” で「悪影響を及ぼす」という意味になる。Writingでかなり使いやすいフォーマル表現。,adversely affect health / adversely affect children / adversely affected by pollution / impact adversely,Air pollution can adversely affect children’s health.,大気汚染は子どもの健康に悪影響を及ぼす可能性がある。,negatively; harmfully; unfavourably; badly,Task 2で “adversely affect...” は非常に便利。
273,tailored,adjective,/ˈteɪlərd/,個別に合わせた、調整された,made or adapted for a specific need,人や目的に合わせて調整されたものを表す。教育・医療・サービス・政策の話題で使いやすい。,tailored support / tailored education / tailored services / tailored to individual needs,Students can benefit from tailored support based on their learning needs.,学生は自分の学習ニーズに基づいた個別支援から恩恵を受けることができる。,customised; personalised; adapted; adjusted,Task 2のeducationやhealthcare topicで便利。
274,empathetic,adjective,/ˌempəˈθetɪk/,共感力のある、相手の気持ちを理解する,showing the ability to understand others’ feelings,相手の立場に立って感情を理解できる様子を表す。“sympathetic” より、相手の気持ちを内側から理解するニュアンスが強い。,empathetic teacher / empathetic response / empathetic communication / be empathetic toward others,Empathetic teachers can better understand students’ emotional needs.,共感力のある教師は学生の感情的なニーズをよりよく理解できる。,understanding; compassionate; sensitive; emotionally aware,Task 2のeducation・healthcare・relationship topicで使いやすい。
275,sympathetic,adjective,/ˌsɪmpəˈθetɪk/,同情的な、理解を示す,showing care or support for someone’s problem,相手の困難に対して同情や支援の気持ちを示す時に使う。“empathetic” より「かわいそうに思う・支える」ニュアンスが強い。,sympathetic attitude / sympathetic listener / sympathetic to students / sympathetic response,Managers should be sympathetic to employees who face family difficulties.,管理職は家庭の問題を抱える従業員に理解を示すべきである。,understanding; supportive; compassionate; kind,Task 2やSpeakingで人間関係・職場の話題に便利。
276,explicit,adjective,/ɪkˈsplɪsɪt/,明確な、はっきり述べられた,clear and direct,曖昧ではなく、言葉ではっきり示されていることを表す。ルール・説明・指示・内容について使いやすい。,explicit rules / explicit instructions / explicit explanation / make something explicit,Schools should provide explicit rules about online behaviour.,学校はオンライン上の行動について明確なルールを示すべきである。,clear; direct; specific; unambiguous,Task 2で “explicit rules/instructions” が使いやすい。
277,compassion,noun,/kəmˈpæʃən/,思いやり、深い同情,kindness toward people who are suffering,苦しんでいる人に対して助けたいと思う温かい気持ちを表す。“pity” より前向きで深い思いやりがある。,show compassion / compassion for others / lack compassion / act with compassion,Healthcare workers need both professional skills and compassion.,医療従事者には専門的な技術と思いやりの両方が必要である。,kindness; empathy; sympathy; humanity,Task 2のhealthcare・education・social issuesで使いやすい。
278,irreplaceable,adjective,/ˌɪrɪˈpleɪsəbl/,かけがえのない、代替できない,too valuable or special to be replaced,人・経験・文化・役割などが他のものでは代えられないほど重要である時に使う。強い肯定表現。,irreplaceable role / irreplaceable experience / irreplaceable value / irreplaceable part,Teachers play an irreplaceable role in children’s emotional development.,教師は子どもの感情的発達においてかけがえのない役割を果たす。,unique; invaluable; essential; cannot be replaced,Task 2で人間の役割をAIやオンライン教育と比較する時に便利。
279,pastoral care,noun,/ˈpæstərəl ker/,生徒への精神的・生活面の支援,emotional and social support for students,学校で生徒の学業以外の心の健康・生活・人間関係を支えることを指す。イギリス英語圏の教育文脈でよく使う。,provide pastoral care / pastoral care system / pastoral care in schools / strong pastoral care,Schools should provide pastoral care as well as academic instruction.,学校は学業指導だけでなく、生徒への精神的・生活面の支援も提供すべきである。,student support; emotional support; welfare support; guidance,Task 2のeducation topicで使えるが、少し専門的。
280,distance education,noun,/ˈdɪstəns ˌedʒuˈkeɪʃən/,遠隔教育,education provided when teachers and students are not in the same place,オンライン授業や通信教育など、教師と学生が離れた場所で行う教育を指す。“online learning” より広い意味。,distance education programmes / provide distance education / access distance education / distance education students,Distance education can help students in remote areas access quality courses.,遠隔教育は遠隔地の学生が質の高い授業を受けるのに役立つ。,online learning; remote education; e-learning; correspondence education,Task 2のeducation・technology topicで非常に便利。
281,indispensable,adjective,/ˌɪndɪˈspensəbl/,不可欠な、絶対に必要な,absolutely necessary,何かを成功させるために欠かせないものを表す。“important” より強い表現なので、使う時は理由を明確にすると自然。,indispensable role / indispensable skill / indispensable tool / indispensable for success,Digital literacy has become indispensable in modern workplaces.,デジタルリテラシーは現代の職場で不可欠になっている。,essential; necessary; vital; crucial,Task 2で強い主張をする時に便利。
282,replicate,verb,/ˈreplɪkeɪt/,再現する、複製する,to copy or reproduce something,同じ結果・経験・環境を再現する時に使う。教育や科学の文脈でよく使われる。,replicate results / replicate an experience / difficult to replicate / replicate classroom interaction,It is difficult for online courses to fully replicate face-to-face interaction.,オンライン授業が対面での交流を完全に再現することは難しい。,copy; reproduce; recreate; duplicate,Task 2でonline educationとtraditional educationを比較する時に便利。
283,conversely,adverb,/ˈkɑːnvɝːsli/,逆に、反対に,on the other hand,前の内容と対照的な情報を述べる時に使う。“On the other hand” よりフォーマルでWriting向き。,"conversely, some argue / conversely, others believe / conversely, this may / conversely, rural students","Online learning is flexible; conversely, it may reduce social interaction.",オンライン学習は柔軟である。逆に、社会的交流を減らす可能性もある。,in contrast; on the other hand; by contrast; however,Task 1・Task 2で対比を作る時に便利。
284,social cohesion,noun,/ˈsoʊʃəl koʊˈhiːʒən/,社会的結束、社会のまとまり,unity and cooperation within society,社会の人々が信頼し合い、協力し、対立せずにまとまっている状態を表す。移民・教育・格差の話題で使いやすい。,strengthen social cohesion / promote social cohesion / weaken social cohesion / social cohesion in communities,Shared public spaces can strengthen social cohesion in local communities.,共有の公共空間は地域社会の社会的結束を強めることができる。,social unity; solidarity; community harmony; togetherness,Task 2のsociety・education・immigration topicで便利。
285,cooperation,noun,/koʊˌɑːpəˈreɪʃən/,協力、協調,working together toward a goal,人・組織・国などが共通の目的のために協力することを表す。Task 2でかなり幅広く使える基本語。,international cooperation / close cooperation / cooperation between countries / promote cooperation,International cooperation is necessary to tackle climate change.,気候変動に取り組むには国際協力が必要である。,collaboration; teamwork; partnership; joint effort,Task 2のenvironment・society・work topicで使いやすい。
286,tolerance,noun,/ˈtɑːlərəns/,寛容、受け入れる力,acceptance of differences,異なる意見・文化・宗教・価値観を受け入れる姿勢を表す。多文化社会や教育の話題で非常に使いやすい。,promote tolerance / cultural tolerance / religious tolerance / tolerance toward others,Schools can teach children tolerance toward people from different backgrounds.,学校は子どもに異なる背景を持つ人々への寛容さを教えることができる。,acceptance; open-mindedness; patience; understanding,Task 2のculture・education・immigration topicで便利。
287,employability,noun,/ɪmˌplɔɪəˈbɪləti/,雇用されやすさ、就職力,the ability to get and keep a job,スキル・経験・資格などにより仕事を得やすい状態を表す。教育と仕事をつなげる話題で頻出。,improve employability / employability skills / graduate employability / increase employability,Internships can improve students’ employability after graduation.,インターンシップは卒業後の学生の就職力を高めることができる。,job readiness; career prospects; work skills; employment potential,Task 2のeducation・employment topicで非常に便利。
288,privileged,adjective,/ˈprɪvəlɪdʒd/,恵まれた、特権を持つ,having advantages that others do not have,経済的・社会的に有利な立場にある人を表す。格差の話題で使いやすいが、やや批判的に聞こえる場合もある。,privileged background / privileged children / privileged groups / come from a privileged family,Children from privileged backgrounds often have more educational opportunities.,恵まれた家庭環境の子どもは、より多くの教育機会を持つことが多い。,advantaged; wealthy; favoured; well-off,Task 2のinequality topicで便利。
289,underprivileged,adjective,/ˌʌndərˈprɪvəlɪdʒd/,恵まれない、社会的に不利な,lacking social or economic advantages,教育・収入・家庭環境などで不利な立場にある人々を指す。社会政策や教育支援の話題で非常に使いやすい。,underprivileged children / underprivileged communities / support underprivileged groups / underprivileged students,Scholarships can help underprivileged students enter higher education.,奨学金は恵まれない学生が高等教育に進むのを助けることができる。,disadvantaged; deprived; poor; socially excluded,Task 2のeducation・poverty・inequality topicで重要。
290,compel,verb,/kəmˈpel/,強制する、やむを得ず〜させる,to force someone to do something,法律・状況・必要性などが人に行動を強いる時に使う。“force” よりフォーマル。受動態 “be compelled to” もよく使う。,compel people to act / compel companies to / be compelled to leave / legally compel,Governments may need to compel companies to reduce harmful emissions.,政府は企業に有害な排出を減らすよう強制する必要があるかもしれない。,force; oblige; require; pressure,Task 2のpolicyやlaw topicで使いやすい。
291,infrequently,adverb,/ɪnˈfriːkwəntli/,めったに〜ない、まれに,not often,頻度が低いことを表すフォーマル寄りの副詞。“rarely” と近いが、やや硬い。Task 1で頻度や変化が少ないことを説明する時に使える。,occur infrequently / use infrequently / visit infrequently / happen infrequently,"Some rural bus services run infrequently, making travel difficult for residents.",一部の地方バスは運行頻度が低く、住民の移動を難しくしている。,rarely; seldom; not often; occasionally,Task 1・Task 2で使えるが、Speakingでは “not very often” の方が自然。
292,In this sense,phrase,/ɪn ðɪs sens/,この意味で、この点において,in this way or meaning,前の内容を受けて、「その意味では」と説明を続ける時に使う。論理をつなぐ表現だが、使いすぎると不自然。,"in this sense, education / in this sense, technology / in this sense, it can be argued / in this sense, the policy","In this sense, public transport can be seen as a tool for social inclusion.",この意味で、公共交通は社会的包摂のための手段と見なすことができる。,in this way; from this perspective; in this respect; in this regard,Task 2で説明を深める時に便利。
293,equitable,adjective,/ˈekwɪtəbl/,公平な、公正な,fair and just,単なる “equal” ではなく、人々の状況に応じて公平に機会や資源を分配するニュアンスがある。教育・医療・交通政策で使いやすい。,equitable access / equitable distribution / equitable society / equitable transport system,Cities should provide equitable access to safe and affordable transport.,都市は安全で手頃な交通への公平なアクセスを提供すべきである。,fair; just; impartial; balanced,Task 2のinequalityやpublic policyで非常に便利。
294,social inclusion,noun,/ˈsoʊʃəl ɪnˈkluːʒən/,社会的包摂、社会参加の促進,the process of including all groups in society,高齢者・障害者・低所得者などが社会から排除されず、サービスや活動に参加できる状態を表す。社会政策のTask 2で使いやすい。,promote social inclusion / support social inclusion / social inclusion policies / improve social inclusion,Affordable public transport can promote social inclusion among low-income groups.,手頃な公共交通は低所得層の社会的包摂を促進できる。,inclusiveness; social participation; community inclusion; equal participation,Task 2のtransport・welfare・inequality topicで便利。
295,decarbonise,verb,/ˌdiːˈkɑːrbənaɪz/,脱炭素化する,to reduce carbon emissions,経済・産業・交通・エネルギーなどからCO2排出を減らすことを表す。英国式スペルで、米国式は “decarbonize”。,decarbonise the economy / decarbonise transport / decarbonise industry / decarbonise energy systems,Governments need to decarbonise transport to meet climate targets.,政府は気候目標を達成するために交通を脱炭素化する必要がある。,reduce carbon emissions; cut emissions; make low-carbon; transition away from fossil fuels,Task 2のclimate changeやtransportで非常に使いやすい。
296,sustainable transport,noun,/səˈsteɪnəbl ˈtrænspɔːrt/,持続可能な交通,transport that has less environmental impact,公共交通・自転車・徒歩・電気自動車など、環境負荷が低く長期的に維持可能な交通を指す。都市問題や環境政策で使いやすい。,promote sustainable transport / invest in sustainable transport / sustainable transport systems / shift to sustainable transport,Investing in sustainable transport can reduce air pollution in cities.,持続可能な交通への投資は都市の大気汚染を減らすことができる。,green transport; low-carbon transport; eco-friendly transport; public transport solutions,Task 2のenvironment・urban planningで便利。
297,reliance,noun,/rɪˈlaɪəns/,依存、頼ること,dependence on something,人・制度・技術・資源などに頼っている状態を表す。“reliance on cars” や “reliance on fossil fuels” が頻出。,heavy reliance on cars / reliance on fossil fuels / reduce reliance / excessive reliance,Urban areas should reduce their reliance on private cars.,都市部は自家用車への依存を減らすべきである。,dependence; dependency; need; trust,Task 2で “reduce reliance on...” が非常に便利。
298,mitigate,verb,/ˈmɪtɪɡeɪt/,軽減する、和らげる,to make a problem less serious,問題を完全に解決するのではなく、悪影響や深刻さを小さくする時に使う。climate changeやriskと相性がよい。,mitigate climate change / mitigate risks / mitigate negative effects / mitigate traffic congestion,Expanding public transport can help mitigate traffic congestion.,公共交通を拡大することは交通渋滞の軽減に役立つ。,reduce; alleviate; lessen; ease,Task 2のsolution paragraphで非常に使いやすい。
299,perpendicular,adjective,/ˌpɝːpənˈdɪkjələr/,垂直の、直角の,at a 90-degree angle,線・道路・建物などが直角に交わる時に使う。Task 1 mapや図形説明で便利だが、日常ではやや専門的。,perpendicular roads / perpendicular lines / run perpendicular to / be perpendicular to,The new road runs perpendicular to the main avenue.,新しい道路は主要な大通りに対して直角に走っている。,at right angles; vertical; upright; crosswise,Task 1 mapで道路配置を説明する時に使える。
300,revitalisation,noun,/ˌriːvaɪtəlaɪˈzeɪʃən/,再活性化、再生,the process of making something active again,衰退した地域・経済・商店街などを再び活気づけること。英国式スペルで、米国式は “revitalization”。,urban revitalisation / economic revitalisation / community revitalisation / revitalisation project,The revitalisation of the town centre attracted new businesses.,町の中心部の再活性化は新しい企業を引きつけた。,renewal; regeneration; redevelopment; revival,Task 1 mapやTask 2のurban developmentで使える。
301,"This, in turn,",phrase,/ðɪs ɪn tɝːn/,これが今度は、その結果として,this then causes another result,前の文で述べた内容が、次の結果を引き起こすことを示す接続表現。因果関係を自然につなげる時に便利。,"this, in turn, leads to / this, in turn, reduces / this, in turn, can improve / this, in turn, creates","Public transport reduces car use. This, in turn, lowers urban emissions.",公共交通は自動車利用を減らす。これが今度は都市の排出量を下げる。,as a result; consequently; this then; therefore,Task 2で原因と結果をつなぐ時に便利。
302,cramped,adjective,/kræmpt/,狭苦しい、窮屈な,too small and crowded,部屋・家・交通機関・都市空間などが狭くて快適でない時に使う。SpeakingやTask 1 mapで使いやすい。,cramped apartment / cramped conditions / cramped classroom / cramped space,Many families live in cramped apartments in large cities.,多くの家族は大都市で狭苦しいアパートに住んでいる。,crowded; confined; narrow; overcrowded,Speakingのhousing topicやTask 2のurbanisationで便利。
303,adequate,adjective,/ˈædɪkwət/,十分な、適切な,enough for a purpose,必要な基準を満たす程度に十分という意味。“excellent” ではなく「最低限十分」に近い。教育・交通・設備・支援の話題で使いやすい。,adequate funding / adequate support / adequate facilities / adequate public transport,Cities need adequate public transport to reduce dependence on cars.,都市は自動車への依存を減らすために十分な公共交通を必要としている。,sufficient; enough; satisfactory; acceptable,Task 2で “adequate support/funding/facilities” が便利。
304,afford,verb,/əˈfɔːrd/,〜を買う余裕がある、負担できる,to have enough money or ability to do something,お金・時間・余裕があるかを表す。“can afford to do” や “cannot afford something” の形でよく使う。,afford housing / afford public transport / afford to buy / cannot afford,Low-income families may not be able to afford private cars.,低所得家庭は自家用車を買う余裕がないかもしれない。,pay for; manage to buy; bear the cost; be able to purchase,Task 2のpoverty・housing・transportで使いやすい。
305,continual,adjective,/kənˈtɪnjuəl/,頻繁に繰り返される、継続的な,happening repeatedly over time,“continuous” は途切れなく続く感じが強いが、“continual” は何度も繰り返されるニュアンスがある。問題や改善の話題で使える。,continual improvement / continual delays / continual changes / continual pressure,Continual delays in public transport can reduce people’s trust in the system.,公共交通の度重なる遅延は、人々の制度への信頼を低下させる可能性がある。,repeated; frequent; ongoing; recurring,Task 2で使えるが、“continuous” との違いに注意。
306,leakage,noun,/ˈliːkɪdʒ/,漏れ、漏出,"the escape of liquid, gas, or information",水・ガス・油・情報などが漏れることを表す。環境・インフラ・安全管理の文脈で使える。,water leakage / gas leakage / leakage from pipes / prevent leakage,Old water pipes can cause leakage and waste valuable resources.,古い水道管は漏水を引き起こし、貴重な資源を無駄にする可能性がある。,leak; escape; seepage; spillage,Task 2のinfrastructureやenvironmentで使える。
307,volatile,adjective,/ˈvɑːlətl/,変動しやすい、不安定な,likely to change suddenly,価格・市場・状況・感情などが急に変わりやすい時に使う。経済やエネルギー価格の話題で便利。,volatile prices / volatile market / volatile situation / highly volatile,"Fuel prices are volatile, which makes transport costs difficult to predict.",燃料価格は変動しやすく、交通費の予測を難しくする。,unstable; changeable; unpredictable; fluctuating,Task 2のeconomy・energy topicで使いやすい。
308,unlikely,adjective,/ʌnˈlaɪkli/,起こりそうにない、可能性が低い,not likely to happen,可能性が低いことを表す基本語。“It is unlikely that...” の形でWritingにも使いやすい。,highly unlikely / unlikely to happen / unlikely to succeed / it is unlikely that,It is unlikely that car use will decline without better public transport.,より良い公共交通なしに自動車利用が減少する可能性は低い。,improbable; doubtful; not expected; not likely,Task 2で慎重な予測を述べる時に便利。
309,discharge,verb,/dɪsˈtʃɑːrdʒ/,排出する、放出する、退院させる,"to release liquid, gas, or a patient",工場が排水やガスを放出する意味で環境トピックに使える。医療では患者を退院させる意味もあるので文脈に注意。,discharge wastewater / discharge pollutants / discharge into rivers / discharge a patient,Factories should not discharge untreated wastewater into rivers.,工場は未処理の排水を川に放出すべきではない。,release; emit; pour out; let out,Task 2のpollution topicで使いやすい。
310,maintenance,noun,/ˈmeɪntənəns/,維持管理、保守,the work of keeping something in good condition,道路・建物・機械・交通システムなどを安全で使える状態に保つ作業を表す。infrastructureの話題で重要。,regular maintenance / road maintenance / maintenance costs / proper maintenance,Regular maintenance is essential for safe and reliable public transport.,安全で信頼できる公共交通には定期的な維持管理が不可欠である。,upkeep; repair; servicing; preservation,Task 2のtransport・infrastructure topicで便利。
311,civilian,noun,/səˈvɪliən/,民間人、一般市民,a person who is not in the military or police,軍人・警察官ではない一般市民を指す。戦争・治安・警察活動の話題でよく使う。,protect civilians / civilian population / civilian casualties / harm civilians,Governments must protect civilians during armed conflicts.,政府は武力紛争中に民間人を守らなければならない。,ordinary citizen; non-combatant; member of the public; resident,Task 2のwar・crime・policing topicで使える。
312,confrontation,noun,/ˌkɑːnfrənˈteɪʃən/,対立、衝突、にらみ合い,a direct conflict or disagreement,人・集団・警察などの間で直接的な対立が起こる時に使う。暴力に発展する前の緊張状態にも使える。,avoid confrontation / direct confrontation / violent confrontation / confrontation with police,Better communication can help avoid unnecessary confrontation between police and citizens.,より良いコミュニケーションは警察と市民の不要な対立を避けるのに役立つ。,conflict; clash; dispute; face-off,Task 2のcrimeやpublic order topicで便利。
313,deter,verb,/dɪˈtɝː/,思いとどまらせる、抑止する,to discourage someone from doing something,罰・監視・法律などによって、人が悪い行動をしないようにする時に使う。犯罪トピックで非常に重要。,deter crime / deter offenders / deter people from breaking the law / deter illegal activity,Strict penalties may deter some people from committing crimes.,厳しい罰は一部の人々が犯罪を犯すのを思いとどまらせるかもしれない。,discourage; prevent; dissuade; stop,Task 2のcrime and punishmentで必須級。
314,likelihood,noun,/ˈlaɪklihʊd/,可能性、見込み,the chance that something will happen,何かが起こる可能性を表すフォーマルな語。“chance” よりWriting向き。,high likelihood / reduce the likelihood / likelihood of crime / increase the likelihood,Community policing can reduce the likelihood of violent confrontation.,地域に根ざした警察活動は暴力的な衝突の可能性を減らすことができる。,probability; chance; possibility; risk,Task 2で “reduce the likelihood of...” が使いやすい。
315,rigorous,adjective,/ˈrɪɡərəs/,厳格な、徹底した,"strict, careful, and thorough",調査・審査・訓練・基準などが細かく厳しい時に使う。安全性や信頼性を高める文脈で便利。,rigorous training / rigorous background checks / rigorous standards / rigorous investigation,Police officers should receive rigorous training before carrying weapons.,警察官は武器を携帯する前に厳格な訓練を受けるべきである。,strict; thorough; careful; demanding,Task 2のpolicyやlaw enforcementで使いやすい。
316,excessive force,noun,/ɪkˈsesɪv fɔːrs/,過剰な武力、過剰な力の行使,more force than is necessary,警察や軍が必要以上の力を使うことを指す。人権・治安維持・警察改革の話題で重要。,use excessive force / excessive force by police / prevent excessive force / allegations of excessive force,The use of excessive force can damage public trust in the police.,過剰な力の行使は警察への社会的信頼を損なう可能性がある。,unnecessary force; disproportionate force; police brutality; overuse of force,Task 2のpolicing topicで非常に使える。
317,routinely,adverb,/ruːˈtiːnli/,日常的に、定期的に,as part of a regular practice,特別な場合ではなく、普段から繰り返し行われることを表す。法律・医療・職場などで使える。,routinely check / routinely carry weapons / routinely monitor / routinely inspect,"In some countries, police officers routinely carry firearms.",一部の国では、警察官が日常的に銃を携帯している。,regularly; habitually; commonly; as usual,Task 2で国や制度の違いを説明する時に便利。
318,erode trust,phrase,/ɪˈroʊd trʌst/,信頼を徐々に損なう,to gradually damage trust,“erode” は少しずつ削るイメージで、信頼・権利・民主主義などが徐々に弱まる時に使う。,erode public trust / erode trust in police / erode mutual trust / gradually erode trust,Misuse of authority can erode trust in public institutions.,権力の乱用は公的機関への信頼を徐々に損なう可能性がある。,undermine trust; weaken trust; damage trust; reduce confidence,Task 2で “erode public trust” はかなり便利。
319,oversight,noun,/ˈoʊvərsaɪt/,監督、見落とし,supervision or an accidental mistake,文脈により「監督」と「見落とし」の両方の意味がある。警察・政府・企業の文脈では「監督」の意味で使うことが多い。,government oversight / independent oversight / lack of oversight / strong oversight,Independent oversight is necessary to prevent the misuse of police power.,警察権力の乱用を防ぐには独立した監督が必要である。,supervision; monitoring; regulation; inspection,Task 2のgovernment・policing topicで便利。
320,civil liberties,noun,/ˈsɪvəl ˈlɪbərtiz/,市民的自由、市民の基本的権利,basic freedoms protected by law,言論の自由・プライバシー・集会の自由など、市民が持つ基本的な自由を指す。法律・監視社会・治安対策の話題で使える。,protect civil liberties / threaten civil liberties / civil liberties groups / restrict civil liberties,Excessive surveillance may threaten civil liberties.,過度な監視は市民的自由を脅かす可能性がある。,basic freedoms; individual rights; constitutional rights; personal liberties,Task 2のlaw・technology・security topicで重要。
321,contentious,adjective,/kənˈtenʃəs/,議論を呼ぶ、賛否の分かれる,causing disagreement,社会的に意見が分かれやすい問題や政策を表す。“controversial” に近く、Writingで使いやすい。,contentious issue / contentious policy / highly contentious / remain contentious,Arming police officers remains a contentious issue in many countries.,警察官に武器を持たせることは多くの国で依然として議論を呼ぶ問題である。,controversial; disputed; debatable; divisive,Task 2で「賛否がある問題」を説明する時に便利。
322,misuse,noun,/ˌmɪsˈjuːs/,誤用、悪用、乱用,wrong or harmful use,権力・情報・技術・薬物などを不適切に使うことを表す。動詞としても使える。,misuse of power / misuse of data / prevent misuse / misuse of authority,Strict rules are needed to prevent the misuse of personal data.,個人情報の悪用を防ぐには厳しい規則が必要である。,abuse; improper use; wrongful use; exploitation,Task 2のtechnology・government・policingで便利。
323,deterrence,noun,/dɪˈtɝːrəns/,抑止、抑止力,the act of discouraging crime or attack,罰や防衛力によって、相手に悪い行動を思いとどまらせる考え方。犯罪・国防の話題でよく使う。,crime deterrence / nuclear deterrence / deterrence effect / effective deterrence,Some people believe that harsh punishment has a strong deterrence effect.,厳しい罰には強い抑止効果があると考える人もいる。,prevention; discouragement; dissuasion; restraint,Task 2のcrime and punishmentで高得点語彙になりやすい。
324,accountability,noun,/əˌkaʊntəˈbɪləti/,説明責任、責任を負うこと,responsibility for actions and decisions,人や組織が自分の行動について説明し、責任を取ることを表す。政府・警察・企業の話題で非常に便利。,ensure accountability / public accountability / police accountability / lack of accountability,Body cameras can improve police accountability.,ボディカメラは警察の説明責任を高めることができる。,responsibility; answerability; transparency; liability,Task 2のgovernmentやpolicing topicで重要。
325,background check,noun,/ˈbækɡraʊnd tʃek/,身元調査、経歴確認,a check of someone’s history,雇用・銃購入・資格審査などで、犯罪歴や経歴を確認することを指す。lawやemployment topicで使える。,conduct a background check / require a background check / pass a background check / criminal background check,A background check should be required before someone can buy a gun.,銃を購入する前に身元調査が必要であるべきだ。,identity check; history check; screening; vetting,Task 2のgun controlやemploymentで便利。
326,background checks,noun,/ˈbækɡraʊnd tʃeks/,身元調査、経歴確認,a process of checking people’s histories,“background check” の複数形で、制度として複数の人に行われる調査を指す時に使う。policy discussionでよく使う。,stricter background checks / mandatory background checks / background checks for gun buyers / conduct background checks,Stricter background checks may reduce the risk of weapons falling into the wrong hands.,より厳格な身元調査は、武器が不適切な人の手に渡るリスクを減らすかもしれない。,screening procedures; vetting checks; identity checks; history checks,Task 2では複数形 “background checks” が自然なことが多い。
327,unnecessary force,noun,/ʌnˈnesəseri fɔːrs/,不要な力の行使,avoidable or unjustified force,状況に対して必要以上、または正当化できない力を使うことを表す。“excessive force” より少し一般的。,use unnecessary force / avoid unnecessary force / unnecessary force against civilians / unnecessary force by officers,Training can help officers avoid unnecessary force.,訓練は警察官が不要な力の行使を避けるのに役立つ。,excessive force; unjustified force; disproportionate force; overuse of force,Task 2のpolicing topicで使える。
